AIRLINE,ORIGIN_AIRPORT,DESTINATION_AIRPORT,ARRIVAL_DELAY
WN,FNT,LAS,0.0
WN,LAS,BNA,-24.0
WN,MCI,BOS,-1.0
WN,MDW,CMH,-6.0
WN,OAK,BUR,23.0
WN,SAN,SFO,11.0
WN,SFO,LAX,-13.0
WN,SJC,MDW,-27.0
AA,DFW,MCO,-3.0
AA,DCA,MIA,-19.0
AA,PHX,SEA,-24.0
AA,CLT,ORD,-23.0
AA,PBI,CLT,-6.0
AA,CLT,MSP,-12.0
AA,MIA,CLT,-8.0
AA,CLT,DCA,-12.0
AA,PHX,LAX,-8.0
AA,CLT,BWI,-3.0
B6,MCO,SWF,-10.0
B6,BTV,JFK,-16.0
AS,SEA,KTN,-10.0
AS,SEA,PSP,-18.0
AS,SNA,PDX,2.0
AS,SEA,PHX,-6.0
DL,ATL,ROC,7.0
MQ,PIA,ORD,-13.0
UA,SJU,EWR,2.0
EV,BHM,IAH,-20.0
EV,ATL,BQK,-8.0
MQ,ALO,ORD,-22.0
UA,IAH,DEN,-11.0
B6,JFK,JAX,-12.0
EV,AZO,ORD,-22.0
EV,IAH,HRL,-9.0
MQ,ROC,ORD,-23.0
UA,IAH,SAN,56.0
UA,IAH,LAS,-17.0
EV,EWR,CLE,1.0
MQ,ORD,IND,-6.0
UA,FLL,IAH,-14.0
UA,SFO,HNL,-26.0
UA,MTJ,IAH,-11.0
DL,ATL,CHS,-15.0
DL,SRQ,LGA,-16.0
DL,JFK,LAS,5.0
DL,JFK,MIA,-26.0
DL,ATL,MCO,-7.0
DL,ATL,MSP,-6.0
DL,ATL,BNA,-15.0
MQ,ORD,DBQ,-18.0
MQ,ORD,BUF,-14.0
MQ,SYR,ORD,-27.0
OO,PHX,TUS,6.0
OO,SBA,LAX,-3.0
OO,SHV,DEN,-12.0
UA,EWR,IAD,-10.0
MQ,JFK,BNA,1.0
WN,ABQ,BWI,-29.0
WN,SMF,PHX,2.0
WN,SNA,MDW,20.0
WN,FLL,BWI,-17.0
WN,IND,LGA,-9.0
WN,LAS,ATL,7.0
WN,LAS,PDX,3.0
WN,LAX,ATL,-1.0
WN,LAX,RNO,36.0
WN,LGA,MKE,-21.0
WN,MCO,BWI,-8.0
WN,MCO,RDU,-10.0
WN,MDW,MSP,37.0
WN,MHT,MCO,-17.0
WN,MSY,DAL,9.0
WN,MSY,TPA,-11.0
WN,PDX,MDW,-3.0
WN,PHX,PDX,-5.0
WN,SAT,DAL,0.0
WN,SJC,SAN,-8.0
WN,SLC,PHX,4.0
AA,STT,MIA,6.0
AA,JFK,MCO,-3.0
AA,JFK,DFW,15.0
AA,AUS,ORD,-25.0
AA,ORD,DFW,-8.0
AA,PHX,SFO,6.0
AA,FLL,CLT,13.0
AA,PHX,SNA,19.0
AA,RSW,PHL,-15.0
AA,PHX,LAS,-2.0
AA,DCA,MCO,-3.0
AA,CLT,EWR,-2.0
AA,CLT,IAH,-5.0
AA,CLT,PHL,-4.0
B6,SAV,BOS,-16.0
B6,FLL,ORH,-11.0
B6,JFK,MSY,-21.0
B6,ROC,JFK,12.0
AS,ANC,SCC,9.0
DL,ATL,SAV,8.0
DL,ATL,DTW,-16.0
DL,LAS,LAX,8.0
DL,ATL,MEM,-9.0
DL,ATL,GSO,-2.0
OO,LAX,SAN,2.0
EV,LIT,IAH,-3.0
EV,EWR,CHS,-28.0
EV,ABY,ATL,17.0
EV,VPS,IAH,-28.0
AA,LIH,LAX,-7.0
OO,IND,ORD,23.0
DL,SEA,LAX,38.0
DL,ATL,ORD,-12.0
DL,TPA,ATL,-14.0
DL,ATL,JAX,15.0
DL,LGA,BOS,128.0
EV,EWR,PVD,-17.0
AA,DCA,ORD,-5.0
AA,LGA,MIA,-31.0
B6,JFK,ORD,4.0
B6,CLE,FLL,40.0
B6,JFK,MCO,-15.0
DL,ATL,FLL,10.0
DL,MSP,PHL,-19.0
DL,SEA,ANC,-27.0
DL,ATL,LAX,-13.0
DL,ATL,HOU,-7.0
DL,DCA,ATL,-11.0
DL,MCO,LGA,77.0
DL,MSP,BDL,35.0
DL,LGA,ATL,-23.0
